date_num	date	a	b	close	d	e	f	g	h	i
1994,315552	25-Apr-1994	467646	335643.19	-37.94	90.14	-38.32	-37.58	89.99	-37.95	-34.77
1994,342651	5-May-1994	472393	340110.91	-39.68	89.10	-39.48	-39.31	88.96	-39.11	-35.60
1994,369873	15-May-1994	468079	336952.41	-41.44	90.85	-40.19	-41.06	90.72	-39.81	-36.00
1994,396973	24-May-1994	469184	338123.41	-43.95	92.34	-41.02	-43.56	92.21	-40.64	-36.60
1994,424194	3-Jun-1994	469231	338529.59	-41.64	89.76	-41.23	-41.25	89.62	-40.84	-36.69
1994,451294	13-Jun-1994	466690	337581.59	-38.83	89.61	-41.14	-38.44	89.48	-40.75	-36.65
1994,478516	23-Jun-1994	473869	349009.81	-47.26	98.12	-40.89	-46.86	97.99	-40.49	-36.64
1994,505615	3-Jul-1994	445229	324764.69	-43.55	90.63	-40.51	-43.14	90.50	-40.10	-36.71
1994,532837	13-Jul-1994	461562	336157.91	-39.37	90.38	-39.99	-38.95	90.26	-39.57	-36.86
1994,559937	23-Jul-1994	454521	334033.81	-38.91	93.69	-39.37	-38.49	93.59	-38.95	-37.12
1994,587158	2-Aug-1994	454380	333153.81	-38.92	95.31	-38.66	-38.49	95.23	-38.23	-37.43
1994,61438	12-Aug-1994	456252	335567.50	-39.09	96.17	-37.83	-38.65	96.09	-37.39	-37.73
1994,64148	22-Aug-1994	454271	334700.81	-36.84	97.15	-36.75	-36.39	97.08	-36.30	-37.81
1994,668701	1-Sep-1994	450951	333470.81	-36.33	98.00	-35.86	-35.87	97.95	-35.40	-38.04
1994,695801	10-Sep-1994	445430	328649.09	-32.85	98.83	-34.84	-32.39	98.81	-34.38	-38.05
