date	close
16-Apr-2002	0
8-May-2002	14.61
15-Aug-2002	-242.44
17-Sep-2002	-265.41
16-Oct-2002	-279.5
14-Nov-2002	-246
17-Dec-2002	-184.1
14-Jan-2003	-164.07
12-Feb-2003	-171.23
14-Mar-2003	-81.75
16-Apr-2003	-28.04
11-May-2003	1.18
16-Jul-2003	-194.15
15-Aug-2003	-360.77
17-Sep-2003	-417.66
16-Oct-2003	-398.06
14-Nov-2003	-355.9
17-Dec-2003	-363.45
7-Jan-2004	-385.72
16-Feb-2004	-372.86
16-Mar-2004	-344.13
15-Apr-2004	-248.23
14-May-2004	-269.57
16-Jun-2004	-325.01
15-Jul-2004	-408.7
14-Aug-2004	-542.25
16-Sep-2004	-536.92
15-Oct-2004	-613.81
13-Nov-2004	-561.17
16-Dec-2004	-571.04
14-Jan-2005	-563.76
12-Feb-2005	-471.5
14-Mar-2005	-422.56
16-Apr-2005	-403.22
15-May-2005	-429.58
17-Jun-2005	-467.23
16-Jul-2005	-585.59
15-Aug-2005	-760.6
17-Sep-2005	-844.55
16-Oct-2005	-896.66
14-Nov-2005	-883.47
17-Dec-2005	-760.73
14-Jan-2006	-757.43
12-Feb-2006	-691.38
14-Mar-2006	-661.19
16-Apr-2006	-725
15-May-2006	-714.66
13-Jun-2006	-674.03
16-Jul-2006	-778.16
15-Aug-2006	-930.59
17-Sep-2006	-1035.27
16-Oct-2006	-1007.69
14-Nov-2006	-984.12
17-Dec-2006	-971.65
14-Jan-2007	-934.98
12-Feb-2007	-924.25
14-Mar-2007	-935.46
16-Apr-2007	-902.42
15-May-2007	-883.09
13-Jun-2007	-889.08
16-Jul-2007	-1086.75
15-Aug-2007	-1302.22
17-Sep-2007	-1365.98
16-Oct-2007	-1328.54
14-Nov-2007	-1324.16
17-Dec-2007	-1269.01
14-Jan-2008	-1262.37
12-Feb-2008	-1240.03
16-Mar-2008	-1159.21
15-Apr-2008	-1181.75
14-May-2008	-1258.31
16-Jun-2008	-1254.73
15-Jul-2008	-1400.06
14-Aug-2008	-1562.84
16-Sep-2008	-1588.21
15-Oct-2008	-1595.1
13-Nov-2008	-1523.6
16-Dec-2008	-1483.06
14-Jan-2009	-1420.35
12-Feb-2009	-1403.48
14-Mar-2009	-1464.96
16-Apr-2009	-1484.56
15-May-2009	-1470.91
17-Jun-2009	-1410.18
16-Jul-2009	-1485.9
15-Aug-2009	-1664.46
17-Sep-2009	-1804.7
16-Oct-2009	-1780.28
14-Nov-2009	-1784.12
17-Dec-2009	-1673.23
14-Jan-2010	-1710.59
12-Feb-2010	-1715.52
14-Mar-2010	-1663.18
16-Apr-2010	-1692.2
15-May-2010	-1664.31
13-Jun-2010	-1726.7
16-Jul-2010	-1941.7
15-Aug-2010	-2159.59
17-Sep-2010	-2302.98
16-Oct-2010	-2248.41
14-Nov-2010	-2243.61
17-Dec-2010	-2188.51
16-Feb-2011	-2198.57
14-Mar-2011	-2153.59
16-Apr-2011	-2141.83
15-May-2011	-2139.17
20-Jul-2011	-2382.57
15-Aug-2011	-2563.24
17-Sep-2011	-2643.41
16-Oct-2011	-2614.74
30-Oct-2011	-2679.61
31-Dec-2011	-2655.17
14-Jan-2012	-2641.92
12-Feb-2012	-2605.74
16-Mar-2012	-2517.14
7-Apr-2012	-2476.37
16-Jun-2012	-2556.12
15-Jul-2012	-2793.76
14-Aug-2012	-3075.35
12-Sep-2012	-3166.01
20-Nov-2012	-3142.52
16-Dec-2012	-3110.66
14-Jan-2013	-3091.58
12-Feb-2013	-3039.1
19-Apr-2013	-3071.53
15-May-2013	-3038.67
17-Jun-2013	-3008.85
16-Jul-2013	-3135.19
16-Oct-2013	-3226.7
14-Nov-2013	-3171.18
17-Dec-2013	-3182.49
7-Jan-2014	-3151.13
17-Mar-2014	-3127.28
16-Apr-2014	-3113.86
15-May-2014	-3095.46
13-Jun-2014	-3127.45
15-Aug-2014	-3449.32
17-Sep-2014	-3496.04
16-Oct-2014	-3446
18-Nov-2014	-3410.67
21-Jan-2015	-3348.3
12-Feb-2015	-3276.05
14-Mar-2015	-3266.61
16-Apr-2015	-3267.63
27-Apr-2015	-3278.22
13-Jul-2015	-3476.59
15-Aug-2015	-3632.79
13-Sep-2015	-3610.77
21-Dec-2015	-3609.53
14-Jan-2016	-3583.23
12-Feb-2016	-3553.32
16-Mar-2016	-3546.04
18-May-2016	-3495.17
16-Jun-2016	-3522.2
15-Jul-2016	-3696.12
21-Aug-2016	-3905.51
28-Nov-2016	-3802.7
23-Dec-2016	-3800.21
21-Jan-2017	-3778.74
