date	close	open
16-Apr-02	0	0
08-May-02	14.61	62.12
15-Aug-02	-242.44	-176.07
17-Sep-02	-265.41	170.09
16-Oct-02	-279.5	33.71
14-Nov-02	-246	-81.62
17-Dec-02	-184.1	-51.14
12-Feb-03	-171.23	-168.66
14-Mar-03	-81.75	-238.74
16-Apr-03	-28.04	-143.83
11-May-03	1.18	-29.82
16-Jul-03	-194.15	-139.58
15-Aug-03	-360.77	-118.44
17-Sep-03	-417.66	-48.72
16-Oct-03	-398.06	-84.84
14-Nov-03	-355.9	-107.17
17-Dec-03	-363.45	-83.32
16-Feb-04	-372.86	-604.75
16-Mar-04	-344.13	-322.73
15-Apr-04	-248.23	-412.72
14-May-04	-269.57	-98.4
16-Jun-04	-325.01	-99.73
15-Jul-04	-408.7	-331.48
14-Aug-04	-542.25	-361.87
16-Sep-04	-536.92	-287.24
15-Oct-04	-613.81	78
13-Nov-04	-561.17	-181.62
16-Dec-04	-571.04	-229.19
12-Feb-05	-471.5	-379.81
14-Mar-05	-422.56	-362.53
16-Apr-05	-403.22	-276.68
15-May-05	-429.58	-285.66
17-Jun-05	-467.23	-196.75
16-Jul-05	-585.59	-128.12
15-Aug-05	-760.6	-342.36
17-Sep-05	-844.55	-109.54
16-Oct-05	-896.66	-121.62
14-Nov-05	-883.47	-97.43
17-Dec-05	-760.73	-137.23
12-Feb-06	-691.38	-340.25
14-Mar-06	-661.19	-296.39
16-Apr-06	-725	-307.18
15-May-06	-714.66	-178.31
13-Jun-06	-674.03	-154.18
16-Jul-06	-778.16	-196.17
15-Aug-06	-930.59	2.39
17-Sep-06	-1035.27	-10.96
16-Oct-06	-1007.69	-74.55
14-Nov-06	-984.12	-162.59
17-Dec-06	-971.65	-244.63
12-Feb-07	-924.25	-427.09
14-Mar-07	-935.46	-453.85
16-Apr-07	-902.42	-356.27
15-May-07	-883.09	-70.24
13-Jun-07	-889.08	-269.1
16-Jul-07	-1086.75	-295.85
15-Aug-07	-1302.22	-222.92
17-Sep-07	-1365.98	-196.99
16-Oct-07	-1328.54	-374.88
14-Nov-07	-1324.16	-467.93
17-Dec-07	-1269.01	-469.47
12-Feb-08	-1240.03	-676.06
16-Mar-08	-1159.21	-660.57
15-Apr-08	-1181.75	-515.51
14-May-08	-1258.31	-518.89
16-Jun-08	-1254.73	-484.19
15-Jul-08	-1400.06	-764.67
14-Aug-08	-1562.84	-821.51
16-Sep-08	-1588.21	-540.05
15-Oct-08	-1595.1	-536.66
13-Nov-08	-1523.6	-476.17
16-Dec-08	-1483.06	-572.55
12-Feb-09	-1403.48	-641.78
14-Mar-09	-1464.96	-592.27
16-Apr-09	-1484.56	-577.59
15-May-09	-1470.91	-572.47
17-Jun-09	-1410.18	-570.43
16-Jul-09	-1485.9	-546.31
15-Aug-09	-1664.46	-550.68
17-Sep-09	-1804.7	-544.09
16-Oct-09	-1780.28	-548.48
14-Nov-09	-1784.12	-587.92
17-Dec-09	-1673.23	-587.78
12-Feb-10	-1715.52	-671.72
14-Mar-10	-1663.18	-621.76
16-Apr-10	-1692.2	-706.68
15-May-10	-1664.31	-727.68
13-Jun-10	-1726.7	-809.36
16-Jul-10	-1941.7	-1071.51
15-Aug-10	-2159.59	-953.83
17-Sep-10	-2302.98	-841.41
16-Oct-10	-2248.41	-935.26
14-Nov-10	-2243.61	-928.85
17-Dec-10	-2188.51	-789.81
16-Feb-11	-2198.57	-1033.29
14-Mar-11	-2153.59	-1086.26
16-Apr-11	-2141.83	-1138.23
15-May-11	-2139.17	-1017.76
20-Jul-11	-2382.57	-1035.13
15-Aug-11	-2563.24	-951.88
17-Sep-11	-2643.41	-827.31
16-Oct-11	-2614.74	-914.18
30-Oct-11	-2679.61	-611.65
31-Dec-11	-2655.17	-948.14
12-Feb-12	-2605.74	-1088.57
16-Mar-12	-2517.14	-1025.66
07-Apr-12	-2476.37	-1043.95
16-Jun-12	-2556.12	-1028.25
15-Jul-12	-2793.76	-1196.57
14-Aug-12	-3075.35	-987.23
12-Sep-12	-3166.01	-734.95
20-Nov-12	-3142.52	-807.52
16-Dec-12	-3110.66	-996.11
12-Feb-13	-3039.1	-1329.47
19-Apr-13	-3071.53	-1116.96
15-May-13	-3038.67	-994.06
17-Jun-13	-3008.85	-989.43
16-Jul-13	-3135.19	-1085.24
16-Oct-13	-3226.7	-1066.72
14-Nov-13	-3171.18	-1215.76
17-Dec-13	-3182.49	-1162.48
17-Mar-14	-3127.28	-1606.66
16-Apr-14	-3113.86	-1386.24
15-May-14	-3095.46	-1253.63
13-Jun-14	-3127.45	-1480.57
15-Aug-14	-3449.32	-1531.72
17-Sep-14	-3496.04	-1252.97
16-Oct-14	-3446	-1383.92
18-Nov-14	-3410.67	-1321.53
12-Feb-15	-3276.05	-1697.55
14-Mar-15	-3266.61	-1808.1
16-Apr-15	-3267.63	-1825.73
27-Apr-15	-3278.22	-1735.62
13-Jul-15	-3476.59	-1862.28
15-Aug-15	-3632.79	-1934.24
13-Sep-15	-3610.77	-1778.25
21-Dec-15	-3609.53	-1637.34
12-Feb-16	-3553.32	-1679.21
16-Mar-16	-3546.04	-1516.72
18-May-16	-3495.17	-1755.32
16-Jun-16	-3522.2	-1611.07
15-Jul-16	-3696.12	-1750.97
21-Aug-16	-3905.51	-1808.04
28-Nov-16	-3802.7	-1438.7
23-Dec-16	-3800.21	-1840.86		
