museo	nazione	licenza	tipo	anno	nopere
Kerkfabriek Sint-Jozef, Sledderlo	belgium	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	8
Knjižnica Sevnica	slovenia	http://www.europeana.eu/rights/unknown/	IMAGE	2015	1
Knjižnica Sevnica	slovenia	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	4
Knjižnica Sevnica	slovenia	http://creativecommons.org/licenses/by-nc/3.0/	IMAGE	2015	3
Leeds Museums and Galleries, United Kingdom	europe	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2015	8
Regionaal Archief Rivierenland, Tiel, The Netherlands	europe	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2015	4
Regionaal Archief Rivierenland, Tiel, The Netherlands	europe	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2014	4
Stadsarchief Amsterdam, The Netherlands	europe	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2015	8
Troms fylkeskommune, Kulturarv	norway	http://creativecommons.org/licenses/by/3.0/	IMAGE	2014	1
Troms fylkeskommune, Kulturarv	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	1
Troms fylkeskommune, Kulturarv	norway	http://creativecommons.org/licenses/by-sa/3.0/	IMAGE	2014	2
Troms fylkeskommune, Kulturarv	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2013	4
Imperial War Museums	united kingdom	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	34983
Imperial War Museums	united kingdom	http://www.europeana.eu/rights/rr-f/	VIDEO	2013	623
Imperial War Museums	united kingdom	http://www.europeana.eu/rights/rr-f/	VIDEO	2014	638
Zgodovinski arhiv Ljubljana, enota za Dolenjsko in Belo krajino 	slovenia	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	7
Zgodovinski arhiv Ljubljana, enota za Dolenjsko in Belo krajino 	slovenia	http://creativecommons.org/licenses/by-nc/3.0/	IMAGE	2015	1
Claire T. Carney Library, University of Massachusetts Dartmouth (archive.org)	europe	http://www.europeana.eu/rights/rr-f/	TEXT	2015	7
Department of Antiquities, Cyprus/ The Cyprus Institute - STARC	cyprus	http://creativecommons.org/licenses/by-nc-nd/3.0/	TEXT	2014	7
Hamarkaupangen	norway	http://creativecommons.org/licenses/by-nc-sa/3.0/	IMAGE	2014	7
Irish Museum of Modern Art	ireland	http://www.europeana.eu/rights/rr-f/	IMAGE	2016	7
The Portable Antiquities Scheme	united kingdom	http://creativecommons.org/licenses/by/3.0/	IMAGE	2016	428204
Kerkfabriek Sint-Valentinus, Berkenbos	belgium	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	7
Kunstsammlungen Chemnitz, Schloßbergmuseum, Germany	europe	http://creativecommons.org/licenses/by-nc/4.0/	IMAGE	2015	7
Lithuanian Art Museum	lithuania	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2016	1
Lithuanian Art Museum	lithuania	http://creativecommons.org/licenses/by/4.0/	IMAGE	2015	3
Lithuanian Art Museum	lithuania	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2015	3
Museum of Contemporary Art Zagreb, Croatia	croatia	http://www.europeana.eu/rights/rr-f/	IMAGE	2016	7
Private collection, United Kingdom IV	europe	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2015	7
Uppsala Universitet	europe	http://www.europeana.eu/rights/rr-f/	TEXT	2015	35777
Royal Commission on the Ancient and Historical Monuments of Scotland	united kingdom	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	6
Royal Commission on the Ancient and Historical Monuments of Scotland	united kingdom	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	1
Statsarkivet i Trondheim	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	1
Statsarkivet i Trondheim	norway	http://www.europeana.eu/rights/rr-f/	VIDEO	2014	1
Statsarkivet i Trondheim	norway	http://creativecommons.org/licenses/by/3.0/	VIDEO	2015	1
Statsarkivet i Trondheim	norway	http://creativecommons.org/licenses/by-nc-sa/3.0/	VIDEO	2015	2
Statsarkivet i Trondheim	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2013	1
Statsarkivet i Trondheim	norway	http://www.europeana.eu/rights/rr-f/	VIDEO	2013	1
Sør-Trøndelag Fylkeskommune	norway	http://creativecommons.org/licenses/by-nc-nd/3.0/	TEXT	2015	3
Sør-Trøndelag Fylkeskommune	norway	http://creativecommons.org/licenses/by-nc-nd/3.0/	TEXT	2014	3
Sør-Trøndelag Fylkeskommune	norway	http://creativecommons.org/licenses/by-nc-nd/3.0/	TEXT	2013	1
The National Museum of Art, Architecture and Design	norway	http://creativecommons.org/licenses/by-nc/4.0/	IMAGE	2016	7
Trinity College - University of Toronto (archive.org)	europe	http://www.europeana.eu/rights/rr-f/	TEXT	2015	7
Archaeology Survey of Ireland, Department of the Arts, heritage and the Gaeltacht	ireland	http://creativecommons.org/licenses/by-nc-nd/4.0/	VIDEO	2015	1
Archaeology Survey of Ireland, Department of the Arts, heritage and the Gaeltacht	ireland	http://creativecommons.org/licenses/by-nc-nd/4.0/	_3D	2015	3
Archaeology Survey of Ireland, Department of the Arts, heritage and the Gaeltacht	ireland	http://www.europeana.eu/rights/rr-p/	_3D	2015	1
Archaeology Survey of Ireland, Department of the Arts, heritage and the Gaeltacht	ireland	http://creativecommons.org/licenses/by-nc-nd/4.0/	IMAGE	2015	1
Campanae Lovanienses	belgium	http://www.europeana.eu/rights/rr-f/	SOUND	2015	4
Campanae Lovanienses	belgium	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	2
Cornell University Library (archive.org)	europe	http://www.europeana.eu/rights/rr-f/	TEXT	2015	6
Detlefsen-Museum im Brockdorff-Palais 	germany	http://www.europeana.eu/rights/rr-f/	IMAGE	2016	6
Generalitat de Catalunya. Arxiu Comarcal de la Segarra	spain	http://creativecommons.org/licenses/by-nc-nd/3.0/	IMAGE	2016	6
Lincolnshire County Council	united kingdom	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	35202
Lincolnshire County Council	united kingdom	http://www.europeana.eu/rights/rr-f/	TEXT	2015	2
KODE - the Art Museums of Bergen, Norway	europe	http://creativecommons.org/licenses/by-nc-nd/4.0/	IMAGE	2015	6
Kupferstichkabinett. Staatliche Museen zu Berlin	germany	http://creativecommons.org/licenses/by-nc-sa/3.0/	IMAGE	2016	6
Museu de Francisco Tavares Proença Júnior	portugal	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2014	6
Museum Stavanger	norway	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2016	1
Museum Stavanger	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	1
Museum Stavanger	norway	http://www.europeana.eu/rights/rr-f/	VIDEO	2013	3
Museum Stavanger	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2013	1
Muzeul Revolutiei, Complex Muzeal Arad, Romania; Revolution Museum, Arad Museum Complex, Romania;	europe	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2015	6
NordseeMuseum Husum. Nissenhaus, Germany	europe	http://creativecommons.org/licenses/by-nc-sa/4.0/	IMAGE	2015	6
Private collection, Norway	europe	http://creativecommons.org/publicdomain/zero/1.0/	IMAGE	2015	2
Private collection, Norway	europe	http://creativecommons.org/licenses/by/4.0/	IMAGE	2014	3
Private collection, Norway	europe	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2016	1
Scottish National Gallery	united kingdom	http://creativecommons.org/licenses/by-nc-nd/4.0/	IMAGE	2016	6
Sparkassenstiftung Schleswig-Holstein 	germany	http://www.europeana.eu/rights/rr-f/	IMAGE	2016	6
Tromsø University Museum, Norway	europe	http://creativecommons.org/licenses/by-nc-nd/4.0/	IMAGE	2015	6
Norsk Jernbanemuseum, Jernbaneverket	norway	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2014	1
Norsk Jernbanemuseum, Jernbaneverket	norway	http://www.europeana.eu/rights/unknown/	IMAGE	2014	1
Norsk Jernbanemuseum, Jernbaneverket	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	30878
Norsk Jernbanemuseum, Jernbaneverket	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2016	1397
Norsk Jernbanemuseum, Jernbaneverket	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	2777
Norsk Jernbanemuseum, Jernbaneverket	norway	http://www.europeana.eu/rights/rr-f/	VIDEO	2016	1
Norsk Jernbanemuseum, Jernbaneverket	norway	http://www.europeana.eu/rights/rr-f/	TEXT	2015	2
Verwaltungsinformationszentrum Charlottenburg-Wilmersdorf	germany	http://www.europeana.eu/rights/rr-f/	TEXT	2014	6
Vintage Films Ltd.	russia	http://www.europeana.eu/rights/rr-f/	VIDEO	2014	6
Østfold fylkesbibliotek	norway	http://www.europeana.eu/rights/rr-f/	VIDEO	2014	1
Østfold fylkesbibliotek	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2013	2
Østfold fylkesbibliotek	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	3
American Entomological Society	europe	http://www.europeana.eu/rights/rr-f/	TEXT	2015	5
CZ, Regionální muzeum v Litomyšli, Czech Republic	europe	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2015	5
Délégation générale à la numérisation des patrimoines culturels	belgium	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2016	5
Estonian Literary Museum, Estonia	europe	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	5
Folk og Feler - Bø Museum	norway	http://creativecommons.org/licenses/by-sa/3.0/	VIDEO	2013	4
Folk og Feler - Bø Museum	norway	http://creativecommons.org/licenses/by-sa/3.0/	SOUND	2014	1
Hedmark fylkeskommune	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2013	2
Hedmark fylkeskommune	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2016	1
Hedmark fylkeskommune	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	1
Hedmark fylkeskommune	norway	http://creativecommons.org/licenses/by-nc/3.0/	IMAGE	2015	1
Hvalfangstmuseet	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	1
Hvalfangstmuseet	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	4
Regione Emilia Romagna	italy	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	34327
Interkommunalt arkiv i Hordaland IKS	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	4
Interkommunalt arkiv i Hordaland IKS	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2013	1
Kulturhistorisk samling	norway	http://www.europeana.eu/rights/rr-f/	TEXT	2015	5
Kulturnett Trøndelag	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2013	3
Kulturnett Trøndelag	norway	http://www.europeana.eu/rights/rr-f/	VIDEO	2013	1
Kulturnett Trøndelag	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	1
Museum Ludwig Köln, Germany V	europe	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	5
Møre og Romsdal	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	1
Møre og Romsdal	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2016	4
Narodna galerija, Ljubljana / National Gallery of Slovenia	slovenia	http://creativecommons.org/licenses/by-sa/4.0/	IMAGE	2016	5
Nidaros Domkirkes Restaureringsarbeider	norway	http://www.europeana.eu/rights/rr-f/	VIDEO	2014	2
Nidaros Domkirkes Restaureringsarbeider	norway	http://www.europeana.eu/rights/rr-f/	VIDEO	2013	2
Nidaros Domkirkes Restaureringsarbeider	norway	http://www.europeana.eu/rights/rr-f/	VIDEO	2015	1
Personal collection of David Arnold	united kingdom	http://www.europeana.eu/rights/rr-r/	_3D	2013	5
Private collection, Italy I	europe	http://creativecommons.org/licenses/by-nc-sa/4.0/	IMAGE	2015	5
Sculpture Department, Victoria and Albert Museum	united kingdom	http://creativecommons.org/licenses/by-nc/3.0/	_3D	2013	5
Rijckheyt, centrum voor regionale geschiedenis	netherlands	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	33886
The National Gallery in Prague	czech republic	http://creativecommons.org/licenses/by-nc-sa/4.0/	IMAGE	2016	3
The National Gallery in Prague	czech republic	http://creativecommons.org/licenses/by/4.0/	IMAGE	2016	1
The National Gallery in Prague	czech republic	http://creativecommons.org/licenses/by/4.0/	TEXT	2016	1
U.S. Government Printing Office (archive.org)	europe	http://www.europeana.eu/rights/rr-f/	TEXT	2015	5
University of Tartu Library, Estonia	europe	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	5
Vestfold fylkeskommune, Virksomheten for kulturarv	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	4
Vestfold fylkeskommune, Virksomheten for kulturarv	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2013	1
Κτήμα Βασιλείου	greece	http://creativecommons.org/licenses/by-nc-sa/4.0/	IMAGE	2016	5
Akershusmuseet avdeling Gamle Hvam museum	norway	http://creativecommons.org/licenses/by-sa/3.0/	VIDEO	2014	3
Akershusmuseet avdeling Gamle Hvam museum	norway	http://www.europeana.eu/rights/rr-f/	VIDEO	2013	1
Andøy museum / Andøy kommune / Andøy historielag	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	2
Andøy museum / Andøy kommune / Andøy historielag	norway	http://www.europeana.eu/rights/rr-f/	TEXT	2013	1
Andøy museum / Andøy kommune / Andøy historielag	norway	http://creativecommons.org/licenses/by-sa/3.0/	IMAGE	2013	1
Aust-Agder kulturhistoriske senter	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	1
Aust-Agder kulturhistoriske senter	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2013	3
Bruderschaft St. Christoph/Arlberg	austria	http://www.europeana.eu/rights/rr-f/	TEXT	2013	4
Ceramics Department, Victoria and Albert Museum	united kingdom	http://creativecommons.org/licenses/by-nc/3.0/	_3D	2013	4
National Library of Ireland	ireland	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	33710
National Library of Ireland	europe	http://www.europeana.eu/rights/rr-f/	TEXT	2016	4
National Library of Ireland	ireland	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2016	1
Colección Rafael Marañón, Spain	europe	http://creativecommons.org/licenses/by/4.0/	IMAGE	2014	4
Den Gamle ByDen Gamle By	denmark	http://creativecommons.org/licenses/by-nc-nd/1.0/	IMAGE	2015	4
Dovre kommune	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2013	2
Dovre kommune	norway	http://www.europeana.eu/rights/rr-f/	SOUND	2013	1
Dovre kommune	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	1
Generalitat de Catalunya. Arxiu Comarcal del Ripollès	spain	http://creativecommons.org/licenses/by-nc-nd/3.0/	IMAGE	2016	4
Hedmark fylkeskommune, Jørn Øversveen	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2013	3
Hedmark fylkeskommune, Jørn Øversveen	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	1
Henrik Ibsens skrifter	norway	http://www.europeana.eu/rights/rr-f/	VIDEO	2014	2
Henrik Ibsens skrifter	norway	http://www.europeana.eu/rights/rr-f/	VIDEO	2013	2
Historisch Museum Apeldoorn	netherlands	http://creativecommons.org/licenses/by/3.0/	IMAGE	2015	4
Hønse Lovisas Hus	norway	http://creativecommons.org/licenses/by-sa/3.0/	SOUND	2013	4
Jugendstilsenteret/Kunstmuseet KUBE	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2013	3
Jugendstilsenteret/Kunstmuseet KUBE	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	1
Krigsminnesmerker	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	3
Krigsminnesmerker	norway	http://www.europeana.eu/rights/rr-f/	TEXT	2015	1
Centre de la Culture Judéo-Marocaine	belgium	http://www.europeana.eu/rights/rr-f/	TEXT	2015	22368
Centre de la Culture Judéo-Marocaine	belgium	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	9659
Kulturavdelinga, Møre og Romsdal fylke	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2013	2
Kulturavdelinga, Møre og Romsdal fylke	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	1
Kulturavdelinga, Møre og Romsdal fylke	norway	http://www.europeana.eu/rights/rr-f/	TEXT	2013	1
MMU	norway	http://www.europeana.eu/rights/rr-f/	TEXT	2015	4
Moderna Galerija, Projekt DCA 	slovenia	http://creativecommons.org/licenses/by-nc/4.0/	IMAGE	2016	2
Moderna Galerija, Projekt DCA 	slovenia	http://www.europeana.eu/rights/rr-f/	IMAGE	2016	1
Moderna Galerija, Projekt DCA 	slovenia	http://creativecommons.org/licenses/by/4.0/	IMAGE	2016	1
Museum Simon van Gijn, The Netherlands	europe	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2014	4
Musée d'art Hyacinthe Rigaud, Perpignan, France	europe	http://creativecommons.org/licenses/by-nc-nd/4.0/	IMAGE	2015	4
Muzej novejše zgodovine Celje	slovenia	http://creativecommons.org/licenses/by-nc/3.0/	VIDEO	2015	4
National Gallery, Sofia	bulgaria	http://creativecommons.org/licenses/by-nc-nd/4.0	IMAGE	2016	1
National Gallery, Sofia	bulgaria	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2016	2
National Gallery, Sofia	bulgaria	http://creativecommons.org/licenses/by-nc-nd	IMAGE	2016	1
Norsk Telemuseum	norway	http://www.europeana.eu/rights/rr-f/	VIDEO	2014	1
Norsk Telemuseum	norway	http://www.europeana.eu/rights/rr-f/	VIDEO	2013	3
POLFOTO 	denmark	http://www.europeana.eu/rights/rr-p/	IMAGE	2013	4
Postojnska jama d.d.	slovenia	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	4
Cumbria Archives and Local Studies Department	united kingdom	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	31643
Rutgers University Libraries (archive.org)	europe	http://www.europeana.eu/rights/rr-f/	TEXT	2015	4
Sogn og Fjordane fylkeskommune ved kulturavdelingen	norway	http://creativecommons.org/licenses/by-nd/3.0/	VIDEO	2015	1
Sogn og Fjordane fylkeskommune ved kulturavdelingen	norway	http://creativecommons.org/licenses/by-sa/3.0/	IMAGE	2015	1
Sogn og Fjordane fylkeskommune ved kulturavdelingen	norway	http://creativecommons.org/licenses/by-sa/3.0/	VIDEO	2015	2
Sovraintendenza dei beni archeologici della Toscana	united kingdom	http://www.europeana.eu/rights/rr-r/	_3D	2013	4
Statsarkivet i Bergen	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	2
Statsarkivet i Bergen	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	2
Stiftelsen Arkivet	norway	http://www.europeana.eu/rights/rr-f/	TEXT	2014	3
Stiftelsen Arkivet	norway	http://www.europeana.eu/rights/rr-f/	VIDEO	2013	1
Telemarkskanalen regionalpark	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	4
University of Birmingham	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	4
Vorderasiatisches Museum, Staatliche Museen zu Berlin	germany	http://creativecommons.org/licenses/by-nc-sa/3.0/	IMAGE	2016	4
Árran Lulesamisk senter	norway	http://creativecommons.org/licenses/by-sa/3.0/	VIDEO	2014	3
Árran Lulesamisk senter	norway	http://creativecommons.org/licenses/by-sa/3.0/	VIDEO	2015	1
AS Holmenkolbanen	norway	http://creativecommons.org/licenses/by-sa/3.0/	TEXT	2015	3
EuroPhoto LUSA provider	portugal	http://www.europeana.eu/rights/rr-p/	IMAGE	2015	31162
Archief Suringar, The Netherlands	europe	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2015	3
Bergen Museum	norway	http://www.europeana.eu/rights/rr-f/	VIDEO	2013	1
Bergen Museum	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2013	1
Bergen Museum	norway	http://www.europeana.eu/rights/rr-f/	VIDEO	2014	1
Byggedirektøren	norway	http://creativecommons.org/licenses/by-sa/3.0/	TEXT	2015	3
CZ, Muzeum Broumovska, Czech Republic	europe	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2015	3
Casa-Museu Dr. Anastácio Gonçalves	portugal	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2014	3
Deichmanske bibliotek, hovedbiblioteket	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2013	2
Deichmanske bibliotek, hovedbiblioteket	norway	http://www.europeana.eu/rights/rr-f/	VIDEO	2013	1
Fylkesarkivet i Oppland	norway	http://www.europeana.eu/rights/rr-f/	VIDEO	2014	1
Fylkesarkivet i Oppland	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2013	2
Göteborgs konstmuseum	sweden	http://creativecommons.org/licenses/by-nc/4.0/	IMAGE	2015	3
HiB Mediesenteret	norway	http://www.europeana.eu/rights/rr-f/	VIDEO	2014	2
HiB Mediesenteret	norway	http://www.europeana.eu/rights/rr-f/	VIDEO	2013	1
JJP	malta	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	3
Hispania Epigraphica Online - HEpOl	spain	http://creativecommons.org/licenses/by-sa/4.0/	TEXT	2015	8196
Hispania Epigraphica Online - HEpOl	spain	http://www.europeana.eu/rights/rr-f/	TEXT	2015	17098
Hispania Epigraphica Online - HEpOl	spain	http://creativecommons.org/publicdomain/zero/1.0/	TEXT	2015	4238
Hispania Epigraphica Online - HEpOl	spain	http://www.europeana.eu/rights/rr-f/	TEXT	2016	842
Hispania Epigraphica Online - HEpOl	spain	http://creativecommons.org/licenses/by-sa/4.0/	TEXT	2016	343
Hispania Epigraphica Online - HEpOl	spain	http://creativecommons.org/publicdomain/zero/1.0/	TEXT	2016	6
Knjižnica Bežigrad	slovenia	http://creativecommons.org/licenses/by-nc/3.0/	IMAGE	2015	3
Musea i Sogn og Fjordane	norway	http://creativecommons.org/licenses/by-sa/3.0/	VIDEO	2015	1
Musea i Sogn og Fjordane	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	1
Musea i Sogn og Fjordane	norway	http://www.europeana.eu/rights/rr-f/	VIDEO	2013	1
Museumsberg Flensburg Städtische Museen und Sammlungen für den Landesteil Schleswig	germany	http://www.europeana.eu/rights/rr-f/	IMAGE	2016	3
Musée d'Orsay	france	http://creativecommons.org/licenses/by-nc-sa/4.0/	IMAGE	2016	3
Narviksenteret m/Røde Kors Krigsmuseum	norway	http://creativecommons.org/licenses/by-nc-nd/3.0/	IMAGE	2015	3
National and University Library of Iceland	iceland	http://www.europeana.eu/rights/rr-f/	TEXT	2016	15704
National and University Library of Iceland	iceland	http://www.europeana.eu/rights/rr-f/	TEXT	2014	335495
National and University Library of Iceland	iceland	http://www.europeana.eu/rights/rr-f/	TEXT	2015	26848
National and University Library of Iceland	iceland	http://www.europeana.eu/rights/rr-f/	IMAGE	2016	785
Naturhistorisk museum, Universitetet i Oslo	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	2
Naturhistorisk museum, Universitetet i Oslo	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2013	1
Private collection, Belgium I	europe	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2014	3
ROM - University of Toronto (archive.org)	europe	http://www.europeana.eu/rights/rr-f/	TEXT	2015	3
Ringve_museumsgjenstander	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	3
St. John's Co-Cathedral Foundation	malta	http://creativecommons.org/publicdomain/zero/1.0/	IMAGE	2016	3
Istituto per la Storia del Risorgimento Italiano	italy	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	30586
Stefan Sava Collection	europe	http://creativecommons.org/licenses/by-nc-sa/4.0/	IMAGE	2016	3
Theatre and Performance Department, Victoria and Albert Museum	united kingdom	http://creativecommons.org/licenses/by-nc/3.0/	_3D	2013	3
Universitetet i Oslo	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2016	3
Visual Media, Belgium	europe	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2014	3
Zeeuwse Bibliotheek, The Netherlands	europe	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2014	3
Κατώγι και  Στροφιλιά Α.Ε.	greece	http://creativecommons.org/licenses/by-nc-sa/4.0/	IMAGE	2016	3
Национална библиотека „Св. Св. Кирил и Методий” // St. St. Cyril and Methodius National Library	bulgaria	http://creativecommons.org/publicdomain/mark/1.0/	TEXT	2016	3
Abraham Lincoln Presidential Library (archive.org)	europe	http://www.europeana.eu/rights/rr-f/	TEXT	2015	2
Akershusmuseet	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2013	1
Akershusmuseet	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	1
Andøy Kommune/Nordland Fylke/Statens Veivesen	norway	http://creativecommons.org/licenses/by-nc/3.0/	IMAGE	2013	1
Andøy Kommune/Nordland Fylke/Statens Veivesen	norway	http://creativecommons.org/licenses/by-nc/3.0/	IMAGE	2014	1
Radomska Biblioteka Cyfrowa	poland	http://creativecommons.org/publicdomain/mark/1.0/	TEXT	2014	23437
Radomska Biblioteka Cyfrowa	poland	http://www.europeana.eu/rights/rr-f/	TEXT	2014	6365
Radomska Biblioteka Cyfrowa	poland	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2014	217
Radomska Biblioteka Cyfrowa	poland	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	105
Armémuseum	sweden	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2016	2
Berlevåg Havnemuseum	norway	http://www.europeana.eu/rights/rr-f/	VIDEO	2013	1
Berlevåg Havnemuseum	norway	http://www.europeana.eu/rights/rr-f/	VIDEO	2014	1
Biblioteca Municipal de Montalegre	portugal	http://www.europeana.eu/rights/rr-f/	TEXT	2013	2
Brevik Bymuseum	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	2
Collectie Brecht Bostyn, Belgium	europe	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2014	2
Dagbladet	norway	http://creativecommons.org/licenses/by-nc-nd/3.0/	IMAGE	2014	1
Dagbladet	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	1
Egil Reimers	norway	http://creativecommons.org/licenses/by-sa/3.0/	IMAGE	2015	2
Environmental Services & Library Systems (archive.org)	europe	http://www.europeana.eu/rights/rr-f/	TEXT	2015	2
Finnmark fylkesbibliotek	norway	http://www.europeana.eu/rights/rr-f/	VIDEO	2014	1
Finnmark fylkesbibliotek	norway	http://www.europeana.eu/rights/rr-f/	VIDEO	2013	1
Folldal kommune, Hedmark fylkeskommune og Norsk Villreinsenter	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	1
Folldal kommune, Hedmark fylkeskommune og Norsk Villreinsenter	norway	http://www.europeana.eu/rights/rr-f/	SOUND	2014	1
Den Gamle By	denmark	http://creativecommons.org/licenses/by-nc-nd/1.0/	IMAGE	2015	29424
Froland folkebibliotek	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2013	2
Furuhaugli turisthytte	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	1
Furuhaugli turisthytte	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2013	1
Gea Norvegica Geopark og prosjektet Drømmemila	norway	http://creativecommons.org/licenses/by-nc-nd/3.0/	VIDEO	2015	1
Gea Norvegica Geopark og prosjektet Drømmemila	norway	http://creativecommons.org/licenses/by-nd/3.0/	VIDEO	2014	1
Hamsunsenteret	norway	http://creativecommons.org/licenses/by-nc/3.0/	VIDEO	2014	1
Hamsunsenteret	norway	http://creativecommons.org/licenses/by-sa/3.0/	VIDEO	2014	1
Hedrum Historielag	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2013	1
