museo	nazione	licenza	tipo	anno	nopere
Stiftelsen Nordiska museet	sweden	http://creativecommons.org/licenses/by/2.5/	IMAGE	2014	316
Stiftelsen Nordiska museet	sweden	http://creativecommons.org/licenses/by/2.5/	IMAGE	2016	47
Stiftelsen Nordiska museet	sweden		IMAGE	2014	1
Stiftelsen Nordiska museet	sweden	http://creativecommons.org/licenses/by-nc-nd/3.0/	IMAGE	2015	10473
Stiftelsen Nordiska museet	sweden	http://creativecommons.org/licenses/by-nc-nd/3.0/	IMAGE	2014	42104
Stiftelsen Nordiska museet	sweden	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2016	157
Stiftelsen Nordiska museet	sweden	http://creativecommons.org/licenses/by-nc-nd/3.0/	IMAGE	2016	1390
Stiftelsen Nordiska museet	sweden	http://creativecommons.org/licenses/by/3.0/	IMAGE	2014	166
Stiftelsen Nordiska museet	sweden	http://creativecommons.org/licenses/by-nc/2.5/	IMAGE	2015	1
Nederlands Instituut voor Militaire Historie	netherlands	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	163475
Nederlands Instituut voor Militaire Historie	netherlands	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	3660
Arts and Theatre Institute	czech republic	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	159386
The National Archives of Norway	norway	http://creativecommons.org/publicdomain/mark/1.0/	TEXT	2015	51187
The National Archives of Norway	norway	http://creativecommons.org/licenses/by-nc-nd/4.0/	TEXT	2015	399610
The National Archives of Norway	norway	http://creativecommons.org/publicdomain/zero/1.0/	TEXT	2016	347649
The National Archives of Norway	norway	http://creativecommons.org/publicdomain/mark/1.0/	TEXT	2016	2023814
The National Archives of Norway	norway	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2015	891
The National Archives of Norway	norway	http://www.europeana.eu/rights/out-of-copyright-non-commercial/	IMAGE	2016	2726
The National Archives of Norway	norway	http://creativecommons.org/publicdomain/zero/1.0/	IMAGE	2015	156092
The National Archives of Norway	norway	http://creativecommons.org/licenses/by-nc-nd/4.0/	IMAGE	2016	26
The National Archives of Norway	norway	http://creativecommons.org/licenses/by-nc-nd/4.0/	SOUND	2016	5
The National Archives of Norway	norway	http://creativecommons.org/licenses/by-nc-nd/4.0/	TEXT	2016	19
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by-sa/3.0/	IMAGE	2014	194
Digitalt fortalt / Norsk kulturråd	norway	http://www.europeana.eu/rights/unknown/	IMAGE	2014	10
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by-sa/3.0/	IMAGE	2013	109
Digitalt fortalt / Norsk kulturråd	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2013	425
Digitalt fortalt / Norsk kulturråd	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	362
Digitalt fortalt / Norsk kulturråd	norway	http://www.europeana.eu/rights/rr-f/	VIDEO	2015	8
Digitalt fortalt / Norsk kulturråd	norway	http://www.europeana.eu/rights/rr-f/	VIDEO	2013	56
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by-sa/3.0/	SOUND	2013	43
Digitalt fortalt / Norsk kulturråd	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	37
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by-sa/3.0/	VIDEO	2016	2
Digitalt fortalt / Norsk kulturråd	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2016	3
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by-sa/3.0/	SOUND	2016	16
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by-sa/3.0/	IMAGE	2016	1
Digitalt fortalt / Norsk kulturråd	norway	http://www.europeana.eu/rights/rr-f/	VIDEO	2016	2
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by-sa/3.0/	SOUND	2015	10
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by-sa/3.0/	VIDEO	2015	10
Digitalt fortalt / Norsk kulturråd	norway	http://www.europeana.eu/rights/rr-f/	SOUND	2015	1
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by-nc/3.0/	IMAGE	2015	5
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by/3.0/	IMAGE	2015	19
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by-sa/3.0/	IMAGE	2015	19
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by-nc-nd/3.0/	TEXT	2015	2
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by-nc-sa/3.0/	IMAGE	2015	2
